id,activity,type
1,1,input
2,1,input
3,1,input
4,1,input
5,1,input
6,1,input
7,1,input
8,1,input
9,1,input
10,1,input
11,1,input
12,0,member
13,0,member
14,0,member
15,0,member
16,0,member
17,0,member
18,0,member
19,0,member
20,0,member
21,0,member
22,0,member
23,0,member
24,0,member
25,0,member
26,0,member
27,0,member
28,0,member
29,0,member
30,0,death
31,0,member
32,0,member
33,0,member
34,0,member
35,0,life
36,0,life
37,0,life
38,0,member
39,0,member
40,0,death
41,0,member
42,0,death
43,0,death
44,0,death
45,0,member
46,0,death
47,0,death
48,0,output
